통제ID,프로세스ID,프로세스명,위험ID,위험내용,통제명,통제목적,Key여부,통제유형,통제방법,수행주기,관련주장,통제책임부서,통제수행부서,주요증빙,사용시스템,신규통제여부,사용중여부
C0058,P04,생산,R-P04-02,원재료 투입량이 왜곡될 위험,생산 모니터링 통제 05,원재료 투입량이 왜곡될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,분기별,기간귀속,생산팀,생산팀,결재문서,영림원ACE,N,Y
C0059,P04,생산,R-P04-02,원재료 투입량이 왜곡될 위험,생산 승인 통제 06,원재료 투입량이 왜곡될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,발생시,기간귀속,생산팀,IT팀,결재문서,영림원ACE,N,Y
C0060,P04,생산,R-P04-03,생산실적과 원가배부가 부정확할 위험,생산 대사 통제 07,생산실적과 원가배부가 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,주별,표시와공시,생산팀,생산팀,결재문서,그룹웨어,N,Y
C0061,P04,생산,R-P04-03,생산실적과 원가배부가 부정확할 위험,생산 검토 통제 08,생산실적과 원가배부가 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,발생시,정확성,생산팀,IT팀,대사표,전자결재,N,Y
C0062,P04,생산,R-P04-03,생산실적과 원가배부가 부정확할 위험,생산 권한 통제 09,생산실적과 원가배부가 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,분기별,완전성,생산팀,생산팀,시스템로그,그룹웨어,Y,Y
C0063,P04,생산,R-P04-04,원재료 투입량이 왜곡될 위험,생산 증빙 통제 10,원재료 투입량이 왜곡될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,발생시,완전성,생산팀,IT팀,시스템로그,그룹웨어,N,Y
C0064,P04,생산,R-P04-04,원재료 투입량이 왜곡될 위험,생산 모니터링 통제 11,원재료 투입량이 왜곡될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,월별,실재성,생산팀,IT팀,증빙첨부,ERP,N,Y
C0065,P04,생산,R-P04-04,생산실적과 원가배부가 부정확할 위험,생산 승인 통제 12,생산실적과 원가배부가 부정확할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,자동통제,월별,실재성,생산팀,IT팀,대사표,해당없음,N,Y
C0066,P04,생산,R-P04-05,생산실적과 원가배부가 부정확할 위험,생산 대사 통제 13,생산실적과 원가배부가 부정확할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,월별,권리와의무,생산팀,생산팀,시스템로그,전자결재,N,Y
C0067,P04,생산,R-P04-05,원재료 투입량이 왜곡될 위험,생산 검토 통제 14,원재료 투입량이 왜곡될 위험을 예방하거나 적시에 발견한다.,N,예방통제,자동통제,월별,실재성,생산팀,생산팀,검토체크리스트,엑셀,N,Y
C0068,P04,생산,R-P04-05,생산실적과 원가배부가 부정확할 위험,생산 권한 통제 15,생산실적과 원가배부가 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,월별,기간귀속,생산팀,생산팀,결재문서,엑셀,N,Y
C0069,P05,자금,R-P05-01,승인되지 않은 자금이 이체될 위험,자금 대사 통제 01,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,발생시,실재성,재무회계팀,재무회계팀,증빙첨부,그룹웨어,N,Y
C0070,P05,자금,R-P05-01,승인되지 않은 자금이 이체될 위험,자금 검토 통제 02,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,월별,기간귀속,재무회계팀,재무회계팀,검토체크리스트,ERP,N,Y
C0071,P05,자금,R-P05-01,승인되지 않은 자금이 이체될 위험,자금 권한 통제 03,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,주별,실재성,재무회계팀,재무회계팀,보고서,전자결재,Y,Y
C0072,P05,자금,R-P05-02,자금일보 및 잔액이 부정확할 위험,자금 증빙 통제 04,자금일보 및 잔액이 부정확할 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,주별,완전성,재무회계팀,재무회계팀,시스템로그,ERP,N,Y
C0073,P05,자금,R-P05-02,승인되지 않은 자금이 이체될 위험,자금 모니터링 통제 05,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,발생시,기간귀속,재무회계팀,IT팀,보고서,해당없음,N,Y
C0074,P05,자금,R-P05-02,승인되지 않은 자금이 이체될 위험,자금 승인 통제 06,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,월별,권리와의무,재무회계팀,재무회계팀,시스템로그,해당없음,Y,Y
C0075,P05,자금,R-P05-03,승인되지 않은 자금이 이체될 위험,자금 대사 통제 07,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,발생시,기간귀속,재무회계팀,재무회계팀,시스템로그,영림원ACE,Y,Y
C0076,P05,자금,R-P05-03,자금일보 및 잔액이 부정확할 위험,자금 검토 통제 08,자금일보 및 잔액이 부정확할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,월별,권리와의무,재무회계팀,재무회계팀,증빙첨부,전자결재,N,Y
C0077,P05,자금,R-P05-03,승인되지 않은 자금이 이체될 위험,자금 권한 통제 09,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,주별,기간귀속,재무회계팀,IT팀,보고서,해당없음,Y,Y
C0078,P05,자금,R-P05-04,승인되지 않은 자금이 이체될 위험,자금 증빙 통제 10,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,수기통제,발생시,실재성,재무회계팀,재무회계팀,시스템로그,전자결재,N,Y
C0079,P05,자금,R-P05-04,승인되지 않은 자금이 이체될 위험,자금 모니터링 통제 11,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,주별,완전성,재무회계팀,재무회계팀,검토체크리스트,엑셀,N,Y
C0080,P05,자금,R-P05-04,자금일보 및 잔액이 부정확할 위험,자금 승인 통제 12,자금일보 및 잔액이 부정확할 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,발생시,정확성,재무회계팀,IT팀,대사표,전자결재,N,Y
C0081,P05,자금,R-P05-05,승인되지 않은 자금이 이체될 위험,자금 대사 통제 13,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,발생시,실재성,재무회계팀,IT팀,검토체크리스트,영림원ACE,N,Y
C0082,P05,자금,R-P05-05,승인되지 않은 자금이 이체될 위험,자금 검토 통제 14,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,N,예방통제,IT의존수기통제,발생시,정확성,재무회계팀,IT팀,대사표,그룹웨어,N,Y
C0083,P05,자금,R-P05-05,승인되지 않은 자금이 이체될 위험,자금 권한 통제 15,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,분기별,권리와의무,재무회계팀,재무회계팀,결재문서,그룹웨어,N,Y
C0084,P05,자금,R-P05-06,승인되지 않은 자금이 이체될 위험,자금 증빙 통제 16,승인되지 않은 자금이 이체될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,일별,실재성,재무회계팀,재무회계팀,결재문서,영림원ACE,N,Y
C0085,P06,결산,R-P06-01,결산조정분개가 부적절할 위험,결산 대사 통제 01,결산조정분개가 부적절할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,연간,실재성,재무회계팀,재무회계팀,증빙첨부,해당없음,N,Y
C0086,P06,결산,R-P06-01,재무제표 공시가 누락될 위험,결산 검토 통제 02,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,연간,권리와의무,재무회계팀,재무회계팀,증빙첨부,엑셀,N,Y
C0087,P06,결산,R-P06-01,재무제표 공시가 누락될 위험,결산 권한 통제 03,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,월별,권리와의무,재무회계팀,재무회계팀,대사표,전자결재,N,Y
C0088,P06,결산,R-P06-02,재무제표 공시가 누락될 위험,결산 증빙 통제 04,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,분기별,권리와의무,재무회계팀,재무회계팀,검토체크리스트,그룹웨어,N,Y
C0089,P06,결산,R-P06-02,결산조정분개가 부적절할 위험,결산 모니터링 통제 05,결산조정분개가 부적절할 위험을 예방하거나 적시에 발견한다.,N,예방통제,수기통제,월별,완전성,재무회계팀,재무회계팀,결재문서,엑셀,N,Y
C0090,P06,결산,R-P06-02,재무제표 공시가 누락될 위험,결산 승인 통제 06,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,수기통제,월별,실재성,재무회계팀,재무회계팀,증빙첨부,전자결재,N,Y
C0091,P06,결산,R-P06-03,재무제표 공시가 누락될 위험,결산 대사 통제 07,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,자동통제,발생시,표시와공시,재무회계팀,재무회계팀,보고서,엑셀,Y,Y
C0092,P06,결산,R-P06-03,재무제표 공시가 누락될 위험,결산 검토 통제 08,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,발생시,권리와의무,재무회계팀,재무회계팀,시스템로그,그룹웨어,N,Y
C0093,P06,결산,R-P06-03,결산조정분개가 부적절할 위험,결산 권한 통제 09,결산조정분개가 부적절할 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,발생시,표시와공시,재무회계팀,재무회계팀,보고서,해당없음,N,Y
C0094,P06,결산,R-P06-04,재무제표 공시가 누락될 위험,결산 증빙 통제 10,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,일별,표시와공시,재무회계팀,재무회계팀,시스템로그,그룹웨어,Y,Y
C0095,P06,결산,R-P06-04,재무제표 공시가 누락될 위험,결산 모니터링 통제 11,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,분기별,기간귀속,재무회계팀,재무회계팀,시스템로그,해당없음,N,Y
C0096,P06,결산,R-P06-04,재무제표 공시가 누락될 위험,결산 승인 통제 12,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,IT의존수기통제,일별,권리와의무,재무회계팀,재무회계팀,검토체크리스트,해당없음,N,Y
C0097,P06,결산,R-P06-05,결산조정분개가 부적절할 위험,결산 대사 통제 13,결산조정분개가 부적절할 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,분기별,권리와의무,재무회계팀,재무회계팀,검토체크리스트,영림원ACE,N,Y
C0098,P06,결산,R-P06-05,재무제표 공시가 누락될 위험,결산 검토 통제 14,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,탐지통제,IT의존수기통제,월별,실재성,재무회계팀,재무회계팀,결재문서,그룹웨어,N,Y
C0099,P06,결산,R-P06-05,재무제표 공시가 누락될 위험,결산 권한 통제 15,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,N,탐지통제,IT의존수기통제,월별,권리와의무,재무회계팀,IT팀,대사표,전자결재,N,Y
C0100,P06,결산,R-P06-06,재무제표 공시가 누락될 위험,결산 증빙 통제 16,재무제표 공시가 누락될 위험을 예방하거나 적시에 발견한다.,Y,예방통제,수기통제,발생시,정확성,재무회계팀,재무회계팀,대사표,전자결재,N,Y
